starttime	seconds	ctime	dtime	ttime	wait
Sun Dec 12 14:24:09 2021	1639337049	0	117	117	116
Sun Dec 12 14:24:09 2021	1639337049	1	117	118	117
Sun Dec 12 14:24:10 2021	1639337050	0	123	123	123
Sun Dec 12 14:24:09 2021	1639337049	0	126	126	126
Sun Dec 12 14:24:10 2021	1639337050	0	127	127	127
Sun Dec 12 14:24:10 2021	1639337050	0	133	133	133
Sun Dec 12 14:24:10 2021	1639337050	0	134	134	134
Sun Dec 12 14:24:09 2021	1639337049	0	134	134	134
Sun Dec 12 14:24:10 2021	1639337050	0	138	138	138
Sun Dec 12 14:24:09 2021	1639337049	0	144	144	144
Sun Dec 12 14:24:09 2021	1639337049	0	144	144	144
Sun Dec 12 14:24:10 2021	1639337050	0	145	145	145
Sun Dec 12 14:24:10 2021	1639337050	0	153	153	153
Sun Dec 12 14:24:10 2021	1639337050	0	163	163	163
Sun Dec 12 14:24:10 2021	1639337050	0	166	166	165
Sun Dec 12 14:24:09 2021	1639337049	0	173	173	173
Sun Dec 12 14:24:09 2021	1639337049	0	179	179	179
Sun Dec 12 14:24:10 2021	1639337050	0	180	180	180
Sun Dec 12 14:24:10 2021	1639337050	0	183	183	183
Sun Dec 12 14:24:10 2021	1639337050	0	188	188	188
Sun Dec 12 14:24:09 2021	1639337049	0	197	197	197
Sun Dec 12 14:24:10 2021	1639337050	0	209	209	209
Sun Dec 12 14:24:09 2021	1639337049	0	213	213	213
Sun Dec 12 14:24:10 2021	1639337050	0	230	230	230
Sun Dec 12 14:24:09 2021	1639337049	1	233	234	233
Sun Dec 12 14:24:09 2021	1639337049	1	234	235	234
Sun Dec 12 14:24:09 2021	1639337049	0	246	246	246
Sun Dec 12 14:24:10 2021	1639337050	0	250	250	250
Sun Dec 12 14:24:10 2021	1639337050	0	252	252	252
Sun Dec 12 14:24:09 2021	1639337049	0	256	256	256
Sun Dec 12 14:24:09 2021	1639337049	0	257	257	257
Sun Dec 12 14:24:09 2021	1639337049	0	261	261	261
Sun Dec 12 14:24:10 2021	1639337050	0	266	266	266
Sun Dec 12 14:24:09 2021	1639337049	0	270	270	270
Sun Dec 12 14:24:09 2021	1639337049	0	277	277	276
Sun Dec 12 14:24:09 2021	1639337049	0	278	278	278
Sun Dec 12 14:24:10 2021	1639337050	0	281	281	281
Sun Dec 12 14:24:09 2021	1639337049	0	282	282	282
Sun Dec 12 14:24:09 2021	1639337049	0	286	286	286
Sun Dec 12 14:24:10 2021	1639337050	0	294	294	294
Sun Dec 12 14:24:10 2021	1639337050	0	318	318	318
Sun Dec 12 14:24:09 2021	1639337049	0	319	319	318
Sun Dec 12 14:24:09 2021	1639337049	1	328	329	328
Sun Dec 12 14:24:09 2021	1639337049	0	329	329	328
Sun Dec 12 14:24:09 2021	1639337049	0	330	330	330
Sun Dec 12 14:24:10 2021	1639337050	0	331	331	331
Sun Dec 12 14:24:09 2021	1639337049	0	332	332	330
Sun Dec 12 14:24:09 2021	1639337049	0	333	333	333
Sun Dec 12 14:24:10 2021	1639337050	0	333	333	333
Sun Dec 12 14:24:09 2021	1639337049	0	335	335	335
Sun Dec 12 14:24:09 2021	1639337049	1	354	355	354
Sun Dec 12 14:24:09 2021	1639337049	1	354	355	354
Sun Dec 12 14:24:09 2021	1639337049	0	355	356	355
Sun Dec 12 14:24:09 2021	1639337049	1	355	356	355
Sun Dec 12 14:24:09 2021	1639337049	0	356	356	356
