starttime,seconds,ctime,dtime,ttime,wait
Sun Dec 12 15:15:24 2021,1639340124,0,120,120,118
Sun Dec 12 15:15:39 2021,1639340139,0,130,130,130
Sun Dec 12 15:15:36 2021,1639340136,0,132,132,132
Sun Dec 12 15:15:38 2021,1639340138,0,133,133,133
Sun Dec 12 15:15:40 2021,1639340140,0,133,133,133
Sun Dec 12 15:15:36 2021,1639340136,0,140,140,140
Sun Dec 12 15:15:26 2021,1639340126,0,141,141,141
Sun Dec 12 15:15:38 2021,1639340138,0,143,143,143
Sun Dec 12 15:15:36 2021,1639340136,0,146,146,146
Sun Dec 12 15:15:28 2021,1639340128,0,149,149,149
Sun Dec 12 15:15:39 2021,1639340139,0,149,149,149
Sun Dec 12 15:15:32 2021,1639340132,0,150,150,150
Sun Dec 12 15:15:33 2021,1639340133,0,151,151,151
Sun Dec 12 15:15:34 2021,1639340134,0,151,151,151
Sun Dec 12 15:15:26 2021,1639340126,0,152,152,152
Sun Dec 12 15:15:26 2021,1639340126,0,153,153,153
Sun Dec 12 15:15:37 2021,1639340137,0,155,155,155
Sun Dec 12 15:15:39 2021,1639340139,0,161,161,161
Sun Dec 12 15:15:31 2021,1639340131,0,161,161,161
Sun Dec 12 15:15:36 2021,1639340136,0,162,162,162
Sun Dec 12 15:15:38 2021,1639340138,0,164,164,164
Sun Dec 12 15:15:37 2021,1639340137,0,165,165,165
Sun Dec 12 15:15:37 2021,1639340137,0,165,165,165
Sun Dec 12 15:15:36 2021,1639340136,0,166,166,166
Sun Dec 12 15:15:31 2021,1639340131,0,166,166,166
Sun Dec 12 15:15:38 2021,1639340138,0,167,167,167
Sun Dec 12 15:15:32 2021,1639340132,0,171,171,163
Sun Dec 12 15:15:26 2021,1639340126,0,172,172,172
Sun Dec 12 15:15:41 2021,1639340141,0,174,174,174
Sun Dec 12 15:15:25 2021,1639340125,0,175,175,175
Sun Dec 12 15:15:39 2021,1639340139,0,175,176,175
Sun Dec 12 15:15:38 2021,1639340138,0,177,177,177
Sun Dec 12 15:15:31 2021,1639340131,0,178,178,178
Sun Dec 12 15:15:29 2021,1639340129,0,179,179,179
Sun Dec 12 15:15:25 2021,1639340125,0,180,180,180
Sun Dec 12 15:15:40 2021,1639340140,0,181,181,181
Sun Dec 12 15:15:38 2021,1639340138,0,184,184,181
Sun Dec 12 15:15:29 2021,1639340129,0,185,185,185
Sun Dec 12 15:15:33 2021,1639340133,0,188,188,187
Sun Dec 12 15:15:30 2021,1639340130,0,189,189,189
Sun Dec 12 15:15:32 2021,1639340132,0,194,194,194
Sun Dec 12 15:15:30 2021,1639340130,0,195,195,195
Sun Dec 12 15:15:29 2021,1639340129,0,195,195,195
Sun Dec 12 15:15:35 2021,1639340135,0,196,196,196
Sun Dec 12 15:15:27 2021,1639340127,0,197,197,197
Sun Dec 12 15:15:26 2021,1639340126,0,197,197,197
Sun Dec 12 15:15:30 2021,1639340130,0,202,202,202
Sun Dec 12 15:15:26 2021,1639340126,0,203,203,203
Sun Dec 12 15:15:30 2021,1639340130,0,205,205,204
Sun Dec 12 15:15:38 2021,1639340138,0,205,205,205
Sun Dec 12 15:15:30 2021,1639340130,0,206,206,206
Sun Dec 12 15:15:33 2021,1639340133,0,206,206,206
Sun Dec 12 15:15:29 2021,1639340129,0,207,207,207
Sun Dec 12 15:15:33 2021,1639340133,0,210,210,210
Sun Dec 12 15:15:33 2021,1639340133,0,211,211,211
Sun Dec 12 15:15:36 2021,1639340136,0,211,211,211
Sun Dec 12 15:15:26 2021,1639340126,0,213,213,213
Sun Dec 12 15:15:36 2021,1639340136,0,215,215,215
Sun Dec 12 15:15:32 2021,1639340132,0,215,215,215
Sun Dec 12 15:15:26 2021,1639340126,0,218,218,218
Sun Dec 12 15:15:38 2021,1639340138,0,220,220,220
Sun Dec 12 15:15:31 2021,1639340131,0,222,222,222
Sun Dec 12 15:15:36 2021,1639340136,0,223,223,222
Sun Dec 12 15:15:39 2021,1639340139,0,223,223,223
Sun Dec 12 15:15:28 2021,1639340128,0,225,225,225
Sun Dec 12 15:15:34 2021,1639340134,0,225,225,225
Sun Dec 12 15:15:29 2021,1639340129,0,227,227,226
Sun Dec 12 15:15:34 2021,1639340134,0,227,227,227
Sun Dec 12 15:15:39 2021,1639340139,0,228,228,227
Sun Dec 12 15:15:35 2021,1639340135,0,228,229,228
