starttime,seconds,ctime,dtime,ttime,wait
Sun Dec 12 15:15:48 2021,1639340148,0,157,157,155
Sun Dec 12 15:15:48 2021,1639340148,1,163,164,162
Sun Dec 12 15:15:48 2021,1639340148,1,194,195,193
Sun Dec 12 15:15:52 2021,1639340152,0,204,204,186
Sun Dec 12 15:15:48 2021,1639340148,2,213,215,213
Sun Dec 12 15:15:50 2021,1639340150,0,233,233,233
Sun Dec 12 15:16:05 2021,1639340165,0,233,234,233
Sun Dec 12 15:15:48 2021,1639340148,1,234,235,234
Sun Dec 12 15:16:03 2021,1639340163,0,237,237,237
Sun Dec 12 15:15:49 2021,1639340149,0,237,238,237
Sun Dec 12 15:15:50 2021,1639340150,0,239,239,239
Sun Dec 12 15:15:49 2021,1639340149,0,244,244,244
Sun Dec 12 15:15:49 2021,1639340149,0,245,245,245
Sun Dec 12 15:16:05 2021,1639340165,0,245,245,245
Sun Dec 12 15:15:49 2021,1639340149,0,246,246,246
Sun Dec 12 15:15:49 2021,1639340149,0,248,248,247
Sun Dec 12 15:15:49 2021,1639340149,0,250,250,250
Sun Dec 12 15:15:49 2021,1639340149,0,253,253,253
Sun Dec 12 15:15:51 2021,1639340151,0,254,254,249
Sun Dec 12 15:15:53 2021,1639340153,0,258,258,257
Sun Dec 12 15:15:49 2021,1639340149,0,261,261,261
Sun Dec 12 15:15:49 2021,1639340149,0,264,264,263
Sun Dec 12 15:15:49 2021,1639340149,0,265,265,254
Sun Dec 12 15:15:48 2021,1639340148,1,264,265,263
Sun Dec 12 15:15:48 2021,1639340148,1,270,272,270
Sun Dec 12 15:15:49 2021,1639340149,0,274,274,273
Sun Dec 12 15:15:57 2021,1639340157,0,275,275,259
Sun Dec 12 15:15:49 2021,1639340149,0,278,278,262
Sun Dec 12 15:15:52 2021,1639340152,0,278,278,277
Sun Dec 12 15:15:49 2021,1639340149,0,279,279,279
Sun Dec 12 15:15:49 2021,1639340149,0,284,284,283
Sun Dec 12 15:15:49 2021,1639340149,0,287,287,283
Sun Dec 12 15:15:49 2021,1639340149,0,287,288,287
Sun Dec 12 15:15:49 2021,1639340149,0,288,288,287
Sun Dec 12 15:15:48 2021,1639340148,1,287,288,286
Sun Dec 12 15:16:05 2021,1639340165,0,288,288,287
Sun Dec 12 15:15:59 2021,1639340159,0,290,290,283
Sun Dec 12 15:15:49 2021,1639340149,0,290,290,289
Sun Dec 12 15:15:59 2021,1639340159,0,291,292,291
Sun Dec 12 15:15:48 2021,1639340148,1,291,292,286
Sun Dec 12 15:15:55 2021,1639340155,0,295,296,294
Sun Dec 12 15:15:49 2021,1639340149,0,297,297,294
Sun Dec 12 15:15:49 2021,1639340149,0,298,298,298
Sun Dec 12 15:15:49 2021,1639340149,0,304,304,304
Sun Dec 12 15:15:49 2021,1639340149,0,304,304,302
Sun Dec 12 15:15:48 2021,1639340148,1,304,306,303
Sun Dec 12 15:15:49 2021,1639340149,0,307,307,281
Sun Dec 12 15:15:49 2021,1639340149,0,311,311,306
Sun Dec 12 15:15:51 2021,1639340151,0,311,311,311
Sun Dec 12 15:15:48 2021,1639340148,1,310,312,308
Sun Dec 12 15:15:48 2021,1639340148,1,312,314,311
Sun Dec 12 15:15:52 2021,1639340152,0,315,315,314
Sun Dec 12 15:15:59 2021,1639340159,0,315,315,314
Sun Dec 12 15:15:58 2021,1639340158,0,318,318,318
Sun Dec 12 15:15:49 2021,1639340149,0,319,319,316
Sun Dec 12 15:15:53 2021,1639340153,0,324,324,323
Sun Dec 12 15:16:03 2021,1639340163,0,329,329,327
Sun Dec 12 15:16:01 2021,1639340161,0,331,331,331
Sun Dec 12 15:15:53 2021,1639340153,0,332,332,303
Sun Dec 12 15:15:49 2021,1639340149,0,332,332,323
Sun Dec 12 15:16:03 2021,1639340163,0,333,333,332
Sun Dec 12 15:15:57 2021,1639340157,0,333,333,332
Sun Dec 12 15:15:52 2021,1639340152,0,334,334,333
Sun Dec 12 15:15:49 2021,1639340149,0,334,334,334
Sun Dec 12 15:16:03 2021,1639340163,0,335,335,335
Sun Dec 12 15:15:49 2021,1639340149,0,336,336,324
Sun Dec 12 15:16:05 2021,1639340165,0,336,336,336
Sun Dec 12 15:15:49 2021,1639340149,0,337,337,336
Sun Dec 12 15:16:00 2021,1639340160,0,340,340,337
Sun Dec 12 15:16:03 2021,1639340163,0,345,345,344
Sun Dec 12 15:15:57 2021,1639340157,0,346,346,344
Sun Dec 12 15:15:51 2021,1639340151,0,347,347,332
Sun Dec 12 15:15:49 2021,1639340149,0,351,351,350
Sun Dec 12 15:15:49 2021,1639340149,0,352,352,348
Sun Dec 12 15:16:01 2021,1639340161,0,353,353,350
Sun Dec 12 15:15:58 2021,1639340158,0,354,354,351
Sun Dec 12 15:15:49 2021,1639340149,0,356,356,348
Sun Dec 12 15:15:58 2021,1639340158,0,358,358,358
Sun Dec 12 15:16:00 2021,1639340160,0,359,359,359
Sun Dec 12 15:16:01 2021,1639340161,0,361,361,360
Sun Dec 12 15:15:58 2021,1639340158,0,361,361,361
Sun Dec 12 15:15:50 2021,1639340150,0,363,363,356
Sun Dec 12 15:16:02 2021,1639340162,0,363,363,362
Sun Dec 12 15:15:57 2021,1639340157,0,364,364,358
Sun Dec 12 15:15:58 2021,1639340158,0,366,366,365
Sun Dec 12 15:15:59 2021,1639340159,0,367,367,366
Sun Dec 12 15:16:02 2021,1639340162,0,367,367,367
Sun Dec 12 15:15:59 2021,1639340159,0,368,368,360
Sun Dec 12 15:15:53 2021,1639340153,0,369,369,350
Sun Dec 12 15:15:49 2021,1639340149,0,370,370,369
Sun Dec 12 15:16:04 2021,1639340164,0,370,370,368
