starttime	seconds	ctime	dtime	ttime	wait
Sun Dec 12 14:15:55 2021	1639336555	1	130	131	130
Sun Dec 12 14:15:56 2021	1639336556	0	135	135	135
Sun Dec 12 14:15:56 2021	1639336556	0	136	137	136
Sun Dec 12 14:15:55 2021	1639336555	1	136	137	135
Sun Dec 12 14:15:56 2021	1639336556	0	145	145	145
Sun Dec 12 14:15:56 2021	1639336556	0	147	147	147
Sun Dec 12 14:15:55 2021	1639336555	1	146	147	146
Sun Dec 12 14:15:55 2021	1639336555	0	159	159	158
Sun Dec 12 14:15:55 2021	1639336555	1	159	159	157
Sun Dec 12 14:15:56 2021	1639336556	0	162	162	145
Sun Dec 12 14:15:56 2021	1639336556	0	164	164	164
Sun Dec 12 14:15:56 2021	1639336556	0	172	172	172
Sun Dec 12 14:15:56 2021	1639336556	0	174	174	168
Sun Dec 12 14:15:56 2021	1639336556	0	174	174	172
Sun Dec 12 14:15:55 2021	1639336555	1	175	176	175
Sun Dec 12 14:15:55 2021	1639336555	1	180	181	180
Sun Dec 12 14:15:56 2021	1639336556	0	186	187	186
Sun Dec 12 14:15:56 2021	1639336556	0	189	189	182
Sun Dec 12 14:15:56 2021	1639336556	0	192	192	191
Sun Dec 12 14:15:56 2021	1639336556	0	195	195	176
Sun Dec 12 14:15:56 2021	1639336556	0	205	205	205
Sun Dec 12 14:15:55 2021	1639336555	1	205	205	194
Sun Dec 12 14:15:56 2021	1639336556	0	206	206	206
Sun Dec 12 14:15:56 2021	1639336556	0	207	207	207
Sun Dec 12 14:15:57 2021	1639336557	0	207	207	207
Sun Dec 12 14:15:56 2021	1639336556	0	208	208	208
Sun Dec 12 14:15:57 2021	1639336557	0	213	213	212
Sun Dec 12 14:15:56 2021	1639336556	0	217	217	217
Sun Dec 12 14:15:56 2021	1639336556	0	218	218	199
Sun Dec 12 14:15:55 2021	1639336555	0	218	218	217
Sun Dec 12 14:15:55 2021	1639336555	1	219	219	205
Sun Dec 12 14:15:56 2021	1639336556	0	221	221	221
